timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.39861915225E9,85,3,0,0
1.398622759E9,85,3,0,0
1.3986263745E9,109,5,0,0
1.39862998825E9,109,5,0,0
1.39863360175E9,109,5,0,0
1.39863720525E9,85,3,0,0
1.39864085525E9,85,3,0,0
1.39864446125E9,85,3,0,0
1.39864821625E9,85,3,0,0
1.39865205925E9,85,3,0,0
1.39865580925E9,85,3,0,0
1.39865943725E9,85,3,0,0
1.39866306725E9,85,3,0,0
1.39866670925E9,85,3,0,0
1.39867033325E9,85,3,0,0
1.39867395325E9,85,3,0,0
1.39867763425E9,85,3,0,0
1.39868143125E9,85,3,0,0
1.39868515725E9,85,3,0,0
1.39868896625E9,85,3,0,0
1.39869261025E9,109,4,0,0
1.39869638625E9,145,6,0,0
1.39870001425E9,217,10,0,0
1.39870365825E9,241,11,0,0
1.39870726325E9,241,11,0,0
1.39871088225E9,241,11,0,0
1.39871452725E9,241,11,0,0
1.39871813425E9,156,9,0,0
1.39872196025E9,156,9,0,0
1.39872563525E9,156,9,0,0
1.39872923825E9,156,9,0,0
1.39873291625E9,205,9,0,0
1.39873666225E9,193,8,0,0
1.39874028725E9,169,7,0,0
1.39874393225E9,217,8,0,0
1.39874754925E9,217,8,0,0
1.39875118525E9,193,7,0,0
1.39875489325E9,169,6,0,0
1.39875851325E9,157,5,0,0
1.39876213825E9,133,4,0,0
1.39876575725E9,133,4,0,0
1.39876936225E9,133,4,0,0
1.39877300725E9,133,4,0,0
1.39877661425E9,133,4,0,0
1.39878022125E9,133,4,0,0
1.39878403625E9,133,4,0,0
1.39878763825E9,133,4,0,0
1.39879129825E9,133,4,0,0
1.39879493925E9,133,4,0,0
1.39879856725E9,133,4,0,0
1.39880218925E9,133,4,0,0
1.39880579325E9,133,4,0,0
1.3988093945E9,133,4,0,0
1.39881299575E9,133,4,0,0
1.398816597E9,133,4,0,0
1.39882019825E9,133,4,0,0
1.3988237995E9,205,5,0,0
1.39882740075E9,205,5,0,0
1.398831002E9,205,5,0,0
1.39883460325E9,205,5,0,0
1.3988382045E9,205,5,0,0
1.39884182625E9,205,5,0,0
1.39884543525E9,193,4,0,0
1.39884904125E9,193,4,0,0
1.39885267425E9,145,3,0,0
1.39885633425E9,145,3,0,0
1.39885995925E9,145,3,0,0
1.39886356025E9,145,3,0,0
1.39886720325E9,169,4,0,0
1.39887083225E9,145,3,0,0
1.39887444225E9,145,3,0,0
1.39887805525E9,73,2,0,0
1.39888166325E9,73,2,0,0
1.39888527725E9,97,3,0,0
1.39888889725E9,97,3,0,0
1.39889253325E9,97,3,0,0
1.39889614225E9,97,3,0,0
1.39889975625E9,97,3,0,0
1.39890336925E9,97,3,0,0
1.3989070245E9,169,4,0,0
1.39891063575E9,157,3,0,0
1.398914289E9,157,3,0,0
1.39891789625E9,157,3,0,0
1.3989215425E9,133,2,0,0
1.39892515225E9,133,2,0,0
1.398928759E9,205,3,0,0
1.3989323745E9,133,2,0,0
1.39893598825E9,133,2,0,0
1.39893959025E9,133,2,0,0
1.39894320175E9,133,2,0,0
1.39894680525E9,133,2,0,0
1.39895045525E9,133,2,0,0
1.39895406125E9,133,2,0,0
1.39895777225E9,133,2,0,0
1.39896141625E9,133,2,0,0
1.39896525925E9,133,2,0,0
1.39896900925E9,181,3,0,0
1.39897263725E9,181,3,0,0
1.39897626725E9,181,3,0,0
1.39897987925E9,181,3,0,0
1.39898348525E9,181,3,0,0
1.39898710925E9,181,3,0,0
1.39899073325E9,181,3,0,0
1.39899435325E9,120,2,0,0
1.39899803325E9,120,2,0,0
1.39900163425E9,120,2,0,0
1.39900524725E9,120,2,0,0
1.39900903125E9,120,2,0,0
1.39901275725E9,120,2,0,0
1.39901656625E9,120,2,0,0
1.39902021025E9,120,2,0,0
1.39902397225E9,120,2,0,0
1.39902758625E9,120,2,0,0
1.39903121425E9,120,2,0,0
1.39903485825E9,120,2,0,0
1.39903846325E9,120,2,0,0
1.39904208225E9,120,2,0,0
1.39904572725E9,120,2,0,0
1.39904933425E9,120,2,0,0
1.39905293725E9,120,2,0,0
1.39905676025E9,120,2,0,0
1.39906043525E9,120,2,0,0
1.39906403825E9,132,3,0,0
1.39906768125E9,132,3,0,0
1.39907131625E9,193,4,0,0
